STATEFP,GEOID,NAME,LOGRADE,HIGRADE,Latitiude,Longitude,NCESIDn,BIA_School,BIA
41,4102160,Blachly School District 090,KG,12,44.1666875,-123.5747347,4102160,No School,
41,4102190,Black Butte School District 41,KG,12,44.5036831,-121.7081163,4102190,Contains non-reservation school,
41,4102310,Brookings-Harbor School District 17,KG,12,42.1378305,-124.1334329,4102310,Contains non-reservation school,
41,4102490,Harney County School District 3,KG,12,43.7200398,-119.1203883,4102490,Contains non-reservation school,
41,4102580,Butte Falls School District 91,KG,12,42.5499599,-122.4603103,4102580,No School,
41,4102610,Camas Valley School District 21J,KG,12,42.9567319,-123.7358306,4102610,No School,
41,4102640,Canby School District 86,KG,12,45.2330391,-122.6911249,4102640,Contains non-reservation school,
41,4102780,Cascade School District 5,KG,12,44.817787,-122.9101936,4102780,Contains non-reservation school,
41,4102800,Centennial School District 28J,KG,12,45.4763612,-122.4792528,4102800,Contains non-reservation school,
41,4102840,Central School District 13J,KG,12,44.8165079,-123.2312196,4102840,Contains non-reservation school,
41,4102910,Central Linn School District 552,KG,12,44.3994647,-123.0368148,4102910,No School,
41,4102940,Central Point School District 6,KG,12,42.5081375,-122.977382,4102940,Contains non-reservation school,
41,4103260,Clatskanie School District 6J,KG,12,46.1005464,-123.2097095,4103260,No School,
41,4103265,Rainier School District 13,KG,12,46.0144288,-122.9747962,4103265,Contains non-reservation school,
41,4103270,Colton School District 53,KG,12,45.0754721,-122.3358577,4103270,No School,
41,4103330,Condon School District 25J,KG,12,45.2530414,-120.2108054,4103330,Intersects Reservation,
41,4103390,Coquille School District 8,KG,12,43.2203103,-124.1163066,4103390,No School,
41,4103420,Corbett School District 39,KG,12,45.5684977,-122.0445546,4103420,Contains non-reservation school,
41,4103480,Corvallis School District 509J,KG,12,44.5524805,-123.2919605,4103480,Contains non-reservation school,
41,4103540,Cove School District 15,KG,12,45.3543012,-117.75647,4103540,Contains non-reservation school,
41,4103660,Coos Bay School District 9,KG,12,43.3918451,-124.046511,4103660,Contains non-reservation school,
41,4103690,Creswell School District 40,KG,12,43.9102069,-123.0348605,4103690,Contains non-reservation school,
41,4103720,Crook County School District,KG,12,44.0656491,-120.387693,4103720,Contains non-reservation school,
41,4103780,Crow-Applegate-Lorane Sd 66,KG,12,43.8721605,-123.3552412,4103780,No School,
41,4103840,Culver School District 4,KG,12,44.4997319,-121.3268316,4103840,Intersects Reservation,
41,4103860,Dallas School District 2,KG,12,44.9489694,-123.3294507,4103860,Contains non-reservation school,
41,4103940,David Douglas School District 40,KG,12,45.4978793,-122.5382188,4103940,Contains non-reservation school,
41,4103960,Days Creek School District 15,KG,12,42.9872545,-122.7825805,4103960,Contains non-reservation school,
